table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,128,72,56,15,15,33,26,12,19,23,29,37,33,29,14,7,20,9,9,11,9,8,19,13,4,5,100
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,123,68*,55*,15**,15**,34**,25**,10**,17**,23**,29**,38*,27**,29**,16**,5**,20**,8**,10**,11**,6**,10**,15**,14**,3**,5**,96*
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Facebook,59,29,30,6,6,18,18,3,8,6,14,16,13,15,13,2,7,2,8,5,2,5,4,9,1,1,43
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Twitter,16,11,5,6,6,5,3,1,-,1,6,7,2,1,-,1,4,4,3,-,-,-,3,1,1,-,16
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Family and friends directly,12,7,5,-,-,4,2,2,1,3,3,4,2,4,1,-,4,1,1,2,1,-,1,-,-,-,10
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Search engine (e.g. Google),10,4,7,1,1,4,1,1,1,2,3,3,1,4,1,-,3,-,1,-,1,-,1,2,-,1,8
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,YouTube,9,6,3,2,2,3,2,1,1,-,3,3,2,1,-,-,-,2,2,-,-,1,2,1,1,-,9
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Websites or apps that bring together news from different news providers,9,4,4,-,-,2,4,-,3,-,1,2,4,2,-,-,4,1,-,-,-,1,-,-,1,1,8
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,WhatsApp,8,8,*,1,1,3,1,*,1,2,2,2,2,2,-,-,*,1,1,-,1,-,2,3,-,-,8
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",8,6,2,-,-,4,1,-,3,-,2,1,3,2,1,-,2,1,1,1,-,*,1,-,-,-,7
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,People in your local area/neighbourhood,8,3,4,-,-,1,2,-,2,2,2,3,2,2,-,1,2,1,1,-,1,-,1,-,-,-,7
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,WhatsApp group(s),7,5,2,1,1,3,-,*,2,1,2,2,3,1,-,-,2,1,-,1,-,-,1,2,-,-,7
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,123,68*,55*,15**,15**,34**,25**,10**,17**,23**,29**,38*,27**,29**,16**,5**,20**,8**,10**,11**,6**,10**,15**,14**,3**,5**,96*
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,BBC - TV,7,5,2,-,-,2,-,*,1,3,2,4,*,1,-,1,-,2,-,-,1,-,1,-,-,2,4
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Instagram,5,4,1,1,1,2,2,-,-,-,4,-,1,-,-,-,-,-,2,2,-,-,1,-,-,-,5
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Unspecified social media,5,3,2,1,1,1,2,-,1,-,2,2,1,-,2,-,1,-,-,-,-,-,-,-,1,-,2
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Channel 4,4,3,1,-,-,2,-,-,-,1,2,1,1,-,-,-,-,1,-,-,1,-,2,-,-,-,3
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,ITV,4,2,2,-,-,1,-,*,-,2,-,3,*,-,-,-,-,1,-,-,-,-,*,-,-,2,2
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,“Red-top tabloids” such as The Sun or Mirror ( online ),3,3,-,-,-,2,1,-,-,1,1,2,1,-,-,-,-,-,1,1,-,-,2,-,-,-,3
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Community radio,3,2,1,1,1,1,1,-,-,-,1,1,-,1,-,-,1,1,1,-,-,-,-,-,-,-,3
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Sky,3,3,-,-,-,3,-,-,-,-,1,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,3
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Facebook messenger,3,3,-,1,1,1,1,-,-,-,3,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-,3
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Celebrity and/or social media influencer,2,1,1,-,-,2,-,-,-,-,1,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,2
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Channel 5,2,2,-,-,-,2,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,2
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Commercial Radio,2,1,1,1,1,1,-,-,-,-,-,1,-,1,-,-,1,1,-,-,-,-,-,-,-,-,2
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,123,68*,55*,15**,15**,34**,25**,10**,17**,23**,29**,38*,27**,29**,16**,5**,20**,8**,10**,11**,6**,10**,15**,14**,3**,5**,96*
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Email,2,2,-,-,-,1,-,-,-,1,-,1,-,1,-,1,-,1,-,-,-,-,-,-,-,-,2
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,BBC - Online/ app,2,2,-,-,-,2,-,-,-,1,2,-,1,-,-,-,-,1,-,-,-,-,1,-,1,-,2
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Apple iMessage,2,2,-,-,-,1,1,-,-,-,2,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,2
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Direct from World Health Organisation (WHO) website/ email/ text/ post,2,1,*,-,-,1,-,*,-,-,-,2,-,-,-,-,-,1,-,*,-,-,-,-,-,-,2
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Magazines,1,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Advertising,1,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Direct from UK Government website/ email/ text/ post,1,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Direct from Local council website/ email/ text/ post,1,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,BBC - Radio,1,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Snapchat,1,1,-,1,1,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,1
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,“Mid-market tabloids” such as MailOnline or Express ( online ),1,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,1
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,123,68*,55*,15**,15**,34**,25**,10**,17**,23**,29**,38*,27**,29**,16**,5**,20**,8**,10**,11**,6**,10**,15**,14**,3**,5**,96*
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Direct from Local health service website/ email/ text/ post,1,-,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,“Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),1,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,“Red-top tabloids” such as The Sun or Daily Mirror ( printed ),1,1,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,“Broadsheets” such as The Times or Guardian,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Podcasts,1,-,1,1,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,ITV Wales,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",1,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,1
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Official scientists,*,-,*,-,-,-,-,*,-,-,-,*,-,-,-,-,-,-,-,*,-,-,-,-,-,-,*
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Other,11,6,5,4,4,1,1,1,1,2,1,6,2,2,-,-,2,1,-,1,1,-,1,2,-,3,7
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: Broadcasters,10,8,2,-,-,4,-,*,1,4,4,4,1,1,-,1,-,3,-,1,1,-,2,-,1,2,7
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,123,68*,55*,15**,15**,34**,25**,10**,17**,23**,29**,38*,27**,29**,16**,5**,20**,8**,10**,11**,6**,10**,15**,14**,3**,5**,96*
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: Non-BBC broadcasters,7,5,2,-,-,4,-,*,-,3,3,3,1,-,-,-,-,1,-,1,1,-,2,-,-,2,5
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: BBC services,8,6,2,-,-,3,-,*,1,4,2,4,1,1,-,1,-,3,-,-,1,-,1,-,1,2,5
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: Newspapers (printed and online),7,5,1,-,-,2,1,-,-,4,2,3,2,-,-,-,-,-,1,2,-,2,2,-,-,-,7
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: Officials,3,1,2,-,-,3,-,*,-,-,1,2,-,-,-,-,-,3,-,*,-,-,-,-,-,-,3
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: Social Media,72,39,33,10,10,22,19,4,10,7,19,19,18,16,14,2,8,4,10,6,2,5,7,11,3,1,56
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: Facebook (Facebook and Facebook Messenger),59,29,30,6,6,18,18,3,8,6,14,16,13,15,13,2,7,2,8,5,2,5,4,9,1,1,43
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: WhatsApp (WhatsApp and WhatsApp groups),11,9,2,1,1,5,1,*,2,2,4,2,3,2,-,-,2,1,1,1,1,-,2,3,-,-,11
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: Closed groups,9,7,2,1,1,4,1,*,2,1,4,2,3,1,-,-,2,1,1,1,-,-,1,2,-,-,9
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: Other online news sources,14,10,5,-,-,4,4,-,5,1,2,3,7,2,1,-,4,4,1,1,-,1,1,-,1,1,13
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: Family/friends/ local ppl,16,7,9,-,-,4,2,2,4,4,3,5,3,4,1,1,6,1,1,2,1,-,2,-,-,-,14
Table 100,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 11th to 13th September 2020,NET: Traditional media,17,13,4,1,1,6,1,*,1,8,5,7,4,1,-,1,1,3,1,3,1,2,4,-,1,2,15
Table 90,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,181,101,80,23,23,38,34,33,26,27,55,49,37,40,,,,,,,,,,,,,
Table 90,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,185,108*,77*,25**,25**,40**,32**,35**,24**,29**,59*,45*,37*,43**,,,,,,,,,,,,,
Table 90,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 29th to 31st May 2020,Facebook,80,42,38,13,13,18,13,21,6,8,27,18,15,21,,,,,,,,,,,,,
Table 90,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 29th to 31st May 2020,Twitter,39,25,14,8,8,9,6,9,4,4,6,12,6,15,,,,,,,,,,,,,
Table 90,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 29th to 31st May 2020,Unspecified social media,17,10,7,1,1,4,3,3,3,2,8,2,1,6,,,,,,,,,,,,,
Table 90,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 29th to 31st May 2020,YouTube,15,11,4,2,2,9,2,-,2,-,6,4,1,4,,,,,,,,,,,,,
Table 90,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 29th to 31st May 2020,Websites or apps that bring together news from different news providers,13,8,4,-,-,3,2,4,3,-,2,3,7,1,,,,,,,,,,,,,
Table 90,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 29th to 31st May 2020,Family and friends directly,11,7,4,-,-,4,3,2,-,2,3,3,1,3,,,,,,,,,,,,,
Table 90,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 29th to 31st May 2020,People in your local area/neighbourhood,11,6,4,-,-,2,4,1,2,1,6,1,2,1,,,,,,,,,,,,,
Table 90,Q10c. Source of theory linking Coronavirus to 5G technology reported as true,ONLINE Fieldwork: 29th to 31st May 2020,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",10,6,4,3,3,2,2,-,3,2,3,1,5,2,,,,,,,,,,,,,
